date_maj;origin;dest;horizon;date_cible;lowest_price;price_level;typical_min;typical_max;devise
2026-08-07;BIA;LYS;J7;2026-08-14;138;typical;95;210;EUR
2026-08-07;NCE;BIA;J90;2026-11-05;119;typical;75;255;EUR
2026-08-07;NCE;BIA;J7;2026-08-14;228;high;130;225;EUR
2026-08-07;BIA;NCE;J90;2026-11-05;127;typical;80;250;EUR
2026-08-07;BIA;NCE;J7;2026-08-14;237;typical;140;240;EUR
2026-08-07;MRS;BIA;J90;2026-11-05;118;typical;75;240;EUR
2026-08-07;MRS;BIA;J7;2026-08-14;247;high;120;210;EUR
2026-08-07;BIA;MRS;J90;2026-11-05;80;typical;80;250;EUR
2026-08-07;BIA;MRS;J7;2026-08-14;234;typical;160;240;EUR
2026-08-07;CDG;BIA;J90;2026-11-05;219;;;;EUR
2026-08-07;CDG;BIA;J7;2026-08-14;172;low;180;290;EUR
2026-08-07;BIA;CDG;J90;2026-11-05;193;typical;170;385;EUR
2026-08-07;BIA;CDG;J7;2026-08-14;207;typical;195;325;EUR
2026-08-07;ORY;BIA;J90;2026-11-05;90;low;105;255;EUR
2026-08-07;ORY;BIA;J7;2026-08-14;281;high;120;280;EUR
2026-08-07;BIA;ORY;J90;2026-11-05;116;low;120;255;EUR
2026-08-07;BIA;ORY;J7;2026-08-14;282;typical;150;330;EUR
2026-08-07;TLS;AJA;J90;2026-11-05;163;;;;EUR
2026-08-07;TLS;AJA;J7;2026-08-14;134;typical;110;225;EUR
2026-08-07;AJA;TLS;J90;2026-11-05;178;;;;EUR
2026-08-07;AJA;TLS;J7;2026-08-14;295;typical;145;340;EUR
2026-08-07;LYS;AJA;J90;2026-11-05;215;typical;90;285;EUR
2026-08-07;LYS;AJA;J7;2026-08-14;76;typical;50;185;EUR
2026-08-07;AJA;LYS;J90;2026-11-05;190;;;;EUR
2026-08-07;AJA;LYS;J7;2026-08-14;235;typical;95;245;EUR
2026-08-07;NCE;AJA;J90;2026-11-05;119;typical;75;240;EUR
2026-08-07;NCE;AJA;J7;2026-08-14;266;high;140;250;EUR
2026-08-07;AJA;NCE;J90;2026-11-05;127;typical;80;245;EUR
2026-08-07;AJA;NCE;J7;2026-08-14;315;high;160;290;EUR
2026-08-07;MRS;AJA;J90;2026-11-05;118;typical;75;235;EUR
2026-08-07;MRS;AJA;J7;2026-08-14;250;high;140;230;EUR
2026-08-07;AJA;MRS;J90;2026-11-05;79;low;80;245;EUR
2026-08-07;AJA;MRS;J7;2026-08-14;259;high;160;240;EUR
2026-08-07;CDG;AJA;J90;2026-11-05;219;;;;EUR
2026-08-07;CDG;AJA;J7;2026-08-14;107;typical;50;195;EUR
2026-08-07;AJA;CDG;J90;2026-11-05;193;typical;170;350;EUR
2026-08-07;AJA;CDG;J7;2026-08-14;199;typical;100;305;EUR
2026-08-07;ORY;AJA;J90;2026-11-05;90;low;105;255;EUR
2026-08-07;ORY;AJA;J7;2026-08-14;281;typical;120;290;EUR
2026-08-07;AJA;ORY;J90;2026-11-05;91;low;120;255;EUR
2026-08-07;AJA;ORY;J7;2026-08-14;341;typical;170;375;EUR
