origin,destination,date,min,max,avg,count
AJA,ORY,2026-08-11,162.15,225.62,193.88,2
AJA,CDG,2026-08-11,340.38,349.38,344.88,2
AJA,MRS,2026-08-11,162.67,337.66,247.33,4
AJA,NCE,2026-08-11,155.93,277.28,207.98,5
AJA,LYS,2026-08-11,160.87,270.45,215.66,2
AJA,TLS,2026-08-11,161.44,348.09,262.88,5
BIA,ORY,2026-08-11,176.47,333.76,276.1,3
BIA,CDG,2026-08-11,154.29,328.04,220.99,4
BIA,MRS,2026-08-11,226.6,347.42,287.01,2
BIA,NCE,2026-08-11,245.94,321.64,283.79,2
BIA,LYS,2026-08-11,177.38,309.44,243.41,2
FSC,ORY,2026-08-11,178.56,333.41,283.65,4
FSC,CDG,2026-08-11,203.32,319.54,260.9,5
FSC,MRS,2026-08-11,168.61,321.8,237.88,5
FSC,NCE,2026-08-11,161.12,280.62,227.42,5
CLY,ORY,2026-08-11,256.57,339.48,295.56,4
CLY,CDG,2026-08-11,268.21,268.21,268.21,1
CLY,MRS,2026-08-11,186.3,341.34,254.12,4
CLY,NCE,2026-08-11,157.91,338.65,256.33,5
ORY,AJA,2026-08-11,180.31,223.99,199.3,4
CDG,AJA,2026-08-11,180.18,180.18,180.18,1
MRS,AJA,2026-08-11,330.74,330.74,330.74,1
NCE,AJA,2026-08-11,157.13,188.85,172.99,2
LYS,AJA,2026-08-11,164.41,317.6,206.71,5
TLS,AJA,2026-08-11,298.52,323.53,311.02,2
ORY,BIA,2026-08-11,217.44,217.44,217.44,1
CDG,BIA,2026-08-11,247.99,247.99,247.99,1
MRS,BIA,2026-08-11,228.08,300.93,262.32,5
NCE,BIA,2026-08-11,296.91,296.91,296.91,1
LYS,BIA,2026-08-11,318.65,318.65,318.65,1
ORY,FSC,2026-08-11,242.26,317.32,279.79,2
CDG,FSC,2026-08-11,189.36,263.06,231.81,4
MRS,FSC,2026-08-11,157.31,157.31,157.31,1
NCE,FSC,2026-08-11,182.44,309.06,265.78,3
ORY,CLY,2026-08-11,207.94,207.94,207.94,1
CDG,CLY,2026-08-11,279.23,279.23,279.23,1
MRS,CLY,2026-08-11,172.61,279.72,208.95,3
NCE,CLY,2026-08-11,159.26,330.71,240.79,4
